F.j1.a1;F.j2.a1;F.j3.a1;F.j1.a0;F.j2.a0;F.j3.a0
0,025616188436830833;8,02394004282655e-03;7,88199143468951e-03;0,037490385438972165;1,07401927194861e-02;7,81188436830835e-03
0,025805053533190576;8,10400428265525e-03;7,95119914346895e-03;0,037762890792291219;1,08439400428266e-02;7,88235546038544e-03
0,025995995717344754;8,18175588865096e-03;8,01970021413276e-03;0,038037130620985009;1,09466167023555e-02;7,95364025695931e-03
0,026187494646680944;8,25835117773019e-03;8,09017130620985e-03;0,038310535331905780;1,10485653104925e-02;8,02456102783726e-03
0,026376852248394006;8,33618843683083e-03;8,16169164882227e-03;0,038586017130620986;1,11484796573876e-02;8,09533190578158e-03
0,026567130620985011;8,41678800856531e-03;8,23077087794432e-03;0,038865096359743043;1,12518629550321e-02;8,16490364025696e-03
0,026756466809421842;8,49631691648822e-03;8,30087794432548e-03;0,039140042826552465;1,13519271948608e-02;8,23359743040685e-03
0,026944646680942184;8,57466809421841e-03;8,37349036402570e-03;0,039414453961456104;1,14552676659529e-02;8,30231263383298e-03
0,027137216274089937;8,65511777301927e-03;8,44518201284797e-03;0,039687002141327622;1,15589293361884e-02;8,37312633832977e-03
0,027329057815845825;8,73458244111349e-03;8,51721627408994e-03;0,039961134903640255;1,16640256959315e-02;8,44329764453962e-03
0,027518693790149894;8,81408993576017e-03;8,58931477516060e-03;0,040240877944325480;1,17714989293362e-02;8,51034261241970e-03
0,027707922912205567;8,89325481798715e-03;8,66310492505353e-03;0,040518244111349036;1,18756531049251e-02;8,57944325481799e-03
0,027893468950749466;8,97226980728051e-03;8,73483940042827e-03;0,040792912205567453;1,19813490364026e-02;8,64920770877944e-03
0,028081241970021414;9,05248394004283e-03;8,80535331905782e-03;0,041063640256959313;1,20876445396146e-02;8,71918629550321e-03
0,028269635974304069;9,13237687366167e-03;8,87466809421841e-03;0,041338308351177730;1,21929764453961e-02;8,78890792291221e-03
0,028457858672376872;9,21197002141328e-03;8,94642398286938e-03;0,041607687366167025;1,23001498929336e-02;8,85871520342612e-03
0,028651777301927195;9,29074946466809e-03;9,01901498929336e-03;0,041879721627408995;1,24040042826552e-02;8,92839400428266e-03
0,028841970021413275;9,37130620985011e-03;9,09017130620985e-03;0,042153683083511778;1,25080728051392e-02;9,00199143468951e-03
0,029030663811563169;9,45387580299786e-03;9,16261241970021e-03;0,042429036402569592;1,26140899357602e-02;9,07516059957173e-03
0,029219164882226981;9,53291220556745e-03;9,23346895074947e-03;0,042699700214132760;1,27213704496788e-02;9,14758029978587e-03
0,029407537473233405;9,61182012847966e-03;9,30638115631692e-03;0,042976959314775159;1,28286081370450e-02;9,21798715203426e-03
0,029597516059957172;9,69241970021413e-03;9,37755888650964e-03;0,043249250535331907;1,29347109207709e-02;9,28987152034261e-03
0,029787408993576018;9,77321199143469e-03;9,45027837259101e-03;0,043521648822269804;1,30415631691649e-02;9,35764453961456e-03
0,029977922912205569;9,85460385438972e-03;9,52265524625268e-03;0,043793490364025696;1,31486509635974e-02;9,43107066381156e-03
0,030164775160599573;9,93773019271949e-03;9,59483940042827e-03;0,044064325481798713;1,32562526766595e-02;9,50235546038544e-03
0,030354925053533190;1,00176017130621e-02;9,66740899357602e-03;0,044338800856531052;1,33646252676660e-02;9,57160599571734e-03
0,030542398286937902;1,01005781584582e-02;9,73869379014989e-03;0,044612655246252679;1,34704710920771e-02;9,64415417558886e-03
0,030731905781584582;1,01818201284797e-02;9,81130620985011e-03;0,044885331905781582;1,35761670235546e-02;9,71642398286938e-03
0,030921199143468952;1,02634689507495e-02;9,88261241970021e-03;0,045155524625267666;1,36834475374732e-02;9,78629550321199e-03
0,031110085653104923;1,03434903640257e-02;9,95702355460385e-03;0,045428543897216275;1,37879443254818e-02;9,85820128479657e-03
0,031296423982869380;1,04237044967880e-02;1,00286081370450e-02;0,045697837259100642;1,38965096359743e-02;9,92766595289079e-03
0,031486616702355461;1,05047323340471e-02;1,01020556745182e-02;0,045969507494646678;1,40055888650964e-02;9,99875802997859e-03
0,031674304068522487;1,05867237687366e-02;1,01738758029979e-02;0,046239421841541756;1,41136402569593e-02;1,00711134903640e-02
0,031860728051391861;1,06709850107066e-02;1,02474304068522e-02;0,046512334047109208;1,42237901498929e-02;1,01424625267666e-02
0,032050492505353322;1,07538329764454e-02;1,03214132762313e-02;0,046784946466809418;1,43338972162741e-02;1,02154389721627e-02
0,032238115631691648;1,08353533190578e-02;1,03943683083512e-02;0,047052847965738755;1,44445396145610e-02;1,02858458244111e-02
