Estimator,t,Estimand,Estimate,se,Truth,bias,MSE,coverage,upper,lower
contmle_c,20,s1,0.5829997865952872,0.025210132998571434,0.5829084154175589,-9.13711777283346e-5,6.545225599041074e-4,0.9579918032786885,0.6313526992947457,0.5364692318744179
contmle_c,20,RD,-0.08353882637664828,0.03575796265754366,-0.08300269807280514,5.361283038431354e-4,0.0013249565012323425,0.9456967213114754,-0.012619857914595994,-0.15364168917882876
contmle_c,20,RR,0.8352971238338386,0.06602179988591486,0.8340259008119368,-0.0012712230219017598,0.004553615229808454,0.944672131147541,0.9730932322037713,0.7059319129933862
contmle_c,20,SR,1.170315136184064,0.07839987250302229,1.1660367049084244,-0.004278431275639701,0.006363371807974928,0.9426229508196722,1.3293167834844686,1.023980703458984
contmle_d,4,s0,0.8914871146461846,0.01410843209531771,0.889479164882227,-0.0020079497639575827,1.6980621521381857e-4,0.9641393442622951,0.9155567600788792,0.8657476700220963
contmle_d,4,s1,0.9169252902300499,0.012488448652982109,0.9157177087794433,-0.0012075814506065665,1.4312672886271978e-4,0.9497950819672131,0.939697902043674,0.893646891726505
contmle_d,4,RD,-0.025438175583865234,0.0188624034371227,-0.02623854389721625,-8.003683133510161e-4,2.9454807497928065e-4,0.9672131147540983,0.005373916152209043,-0.059983638684090054
contmle_d,4,RR,0.7760461104639212,0.15548624487206764,0.762591878090172,-0.013454232373749193,0.020845479125734503,0.9600409836065574,1.064239764228724,0.5226755158341602
contmle_d,4,SR,1.028741014455558,0.02153726380435594,1.0294987729146983,7.577584591403528e-4,3.8277278046070504e-4,0.9713114754098361,1.0688877743039051,0.9941382352706544
contmle_d,8,s0,0.7821772858744203,0.018902130672512767,0.7777764668094218,-0.0044008190649984,3.137273261210815e-4,0.9538934426229508,0.8166644810842958,0.7481411240224334
contmle_d,8,s1,0.8291653156405414,0.017204485518075532,0.8259033618843683,-0.003261953756173144,2.97897466081171e-4,0.9395491803278688,0.8613156136602396,0.7974343476507277
contmle_d,8,RD,-0.04698802976612124,0.025571451557418863,-0.048126895074946496,-0.001138865308825256,5.639243216586961e-4,0.9528688524590164,0.0023458688401130634,-0.09588858544215599
contmle_d,8,RR,0.7890575699566805,0.10533750366514498,0.7834302497851431,-0.0056273201715374595,0.00988813275923961,0.9569672131147541,1.0116703041032662,0.6031597070288638
contmle_d,8,SR,1.0605683788485591,0.033856526547455294,1.0618775408214285,0.001309161972869343,9.819816516591614e-4,0.951844262295082,1.124604335480142,0.9970639505505916
contmle_d,12,s0,0.6797955087201603,0.021570440665859343,0.6745683511777302,-0.005227157542430042,4.235984605149566e-4,0.9579918032786885,0.7167284950306356,0.6416965330971682
contmle_d,12,s1,0.7438539502323566,0.020132513835395768,0.7391604710920772,-0.004693479140279368,4.0826632758596856e-4,0.944672131147541,0.7828305731420644,0.7067012072179378
contmle_d,12,RD,-0.06405844151219632,0.029513834097440066,-0.06459211991434699,-5.336784021506741e-4,8.03423194021122e-4,0.9590163934426229,-0.008286459988198422,-0.12028651513032607
contmle_d,12,RR,0.8031835474367857,0.08339915733695849,0.8015186287255573,-0.0016649187112282714,0.006564061287626019,0.9497950819672131,0.9723124401125894,0.6507827901028111
contmle_d,12,SR,1.0951943676548854,0.045782961421755065,1.095753261773363,5.588941184774882e-4,0.0019175141021093645,0.9600409836065574,1.18342200800684,1.0118261786924954
contmle_d,16,s0,0.5881662884017221,0.022984146134197928,0.581883147751606,-0.0062831406501161775,4.8743734942523366e-4,0.9610655737704918,0.6291877574706031,0.548297528786226
contmle_d,16,s1,0.6637179610533517,0.02198963985088649,0.6579097430406853,-0.005808218012666423,5.090801179854223e-4,0.951844262295082,0.7063063627684063,0.6225521901686932
contmle_d,16,RD,-0.07555167265162954,0.03181496336070391,-0.07602659528907929,-4.749226374497549e-4,9.542263934641139e-4,0.9569672131147541,-0.014159955706239208,-0.13458065127083352
contmle_d,16,RR,0.8188282138270532,0.0705730640220001,0.8181690240891951,-6.591897378580117e-4,0.004817254240512441,0.9528688524590164,0.9626270259927001,0.6927632526257455
contmle_d,16,SR,1.1299574222734214,0.0580383620905092,1.1306561215646918,6.986992912703814e-4,0.0031224711870237957,0.9549180327868853,1.2395506170898896,1.0227437113819904
contmle_d,20,s0,0.5145346378218614,0.024501548753442702,0.49990571734475375,-0.014628920477107635,7.65364791912334e-4,0.9159836065573771,0.5606146798668301,0.46811707122153245
contmle_d,20,s1,0.5964506518345876,0.024144763001277474,0.5829084154175589,-0.01354223641702872,7.621629378745932e-4,0.9067622950819673,0.6415046623044514,0.5526419981806538
contmle_d,20,RD,-0.08191601401272622,0.03440752154705077,-0.08300269807280514,-0.0010866840600789163,0.0011711331451070355,0.9508196721311475,-0.01532748414343385,-0.1480749096786404
contmle_d,20,RR,0.8333096573363359,0.0653798613304159,0.8340259008119368,7.162434756009378e-4,0.004273197604917836,0.9497950819672131,0.966617615122341,0.707006383521126
contmle_d,20,SR,1.1617087422046946,0.07288153081270249,1.1660367049084244,0.004327962703729728,0.005228831460112293,0.9467213114754098,1.306663265472684,1.0274737817998574
survtmle,4,s0,0.8903252951030791,0.013714476672891435,0.889479164882227,-8.461302208521232e-4,1.8916952024161822e-4,0.9528688524590164,0.9156821681224503,0.8621977626227096
survtmle,4,s1,0.916447429442199,0.012160627178692714,0.9157177087794433,-7.29720662755826e-4,1.570381018437437e-4,0.9344262295081968,0.9400759964804342,0.8917844709759957
survtmle,4,RD,-0.026122134339119953,0.018349271762906207,-0.02623854389721625,-1.1640955809629713e-4,3.4256404096038353e-4,0.9508196721311475,0.006832850482295427,-0.06301734891968074
survtmle,4,RR,0.7740527136416313,0.1499073326383434,0.762591878090172,-0.011460835551459225,0.023869241756226334,0.9385245901639344,1.0893146954042743,0.5052892913750775
survtmle,4,SR,1.0295837452887189,0.020991916422927092,1.0294987729146983,-8.497237402056314e-5,4.4716960405780424e-4,0.9528688524590164,1.0724491120252502,0.9925581113652812
survtmle,8,s0,0.7807359204151443,0.017985787608530805,0.7777764668094218,-0.0029594536057224756,3.4529556589044336e-4,0.9436475409836066,0.8180611587327926,0.7453824753559953
survtmle,8,s1,0.8292634774814205,0.016399578207830185,0.8259033618843683,-0.0033601155970522057,3.2782366039221805e-4,0.9118852459016393,0.8633951802696308,0.7960805485249421
survtmle,8,RD,-0.048527557066276227,0.024351353702709338,-0.048126895074946496,4.0066199132972997e-4,6.47447608784666e-4,0.9241803278688525,0.0043942762117743644,-0.09908548300520487
survtmle,8,RR,0.7842039264595353,0.0995316495300261,0.7834302497851431,-7.736766743921756e-4,0.011124551102220482,0.9200819672131147,1.0229560078576494,0.5940508148168873
survtmle,8,SR,1.0627388244019502,0.03234479082600725,1.0618775408214285,-8.612835805216233e-4,0.0011371198450667098,0.9262295081967213,1.1307562289683948,0.9945531187889898
survtmle,12,s0,0.6767078564653447,0.02021098625799471,0.6745683511777302,-0.00213950528761451,5.130401644329042e-4,0.9200819672131147,0.7186877021964881,0.6316555096441914
survtmle,12,s1,0.7439891553122134,0.018891615925431385,0.7391604710920772,-0.004828684220136244,4.902941395502089e-4,0.8954918032786885,0.7859537579137826,0.702151036056174
survtmle,12,RD,-0.06728129884686873,0.027672851067938313,-0.06459211991434699,0.002689178932521734,0.001022984861043924,0.9016393442622951,-0.003910924884429623,-0.13125693638415575
survtmle,12,RR,0.7959865853777871,0.07728250520234319,0.8015186287255573,0.005532043347770267,0.00810517244904677,0.8975409836065574,0.9856573641302468,0.6377693911108266
survtmle,12,SR,1.1006954498731907,0.04327441737138699,1.095753261773363,-0.0049421880998277165,0.00249750482768087,0.9098360655737705,1.2035504077738075,1.0054182821130087
survtmle,16,s0,0.5815849886045218,0.021376490442957932,0.581883147751606,2.981591470841976e-4,6.296330929788776e-4,0.9047131147540983,0.6309570400590492,0.5344397062786963
survtmle,16,s1,0.6609227314893812,0.020480996151173714,0.6579097430406853,-0.0030129884486958737,7.12662082087793e-4,0.8596311475409836,0.708262370043919,0.6062606134156718
survtmle,16,RD,-0.07933774288485936,0.029610175454649827,-0.07602659528907929,0.003311147595780071,0.0014043785138892128,0.8801229508196722,-0.0030467273488027635,-0.1511421340086115
survtmle,16,RR,0.8135307611003395,0.06457923678253376,0.8181690240891951,0.0046382629888556464,0.006891574192051617,0.8780737704918032,0.9920178492825402,0.6649505792251426
survtmle,16,SR,1.1386196998107487,0.05493997124542215,1.1306561215646918,-0.00796357824605705,0.004749233830916057,0.8913934426229508,1.2744519699541983,1.0050029740303477
survtmle,20,s0,0.5070759132756073,0.021771997964642326,0.49990571734475375,-0.007170195930853598,0.0011605789568107099,0.8125,0.5655099114268503,0.43733422950262885
survtmle,20,s1,0.5923387160781198,0.021389937641134563,0.5829084154175589,-0.00943030066056089,0.001463120097029515,0.7377049180327869,0.6504359992068595,0.5031413642367838
survtmle,20,RD,-0.08526280280251243,0.030526685752924904,-0.08300269807280514,0.002260104729707292,0.002718347267933067,0.7797131147540983,0.02512426251385974,-0.17898201323217053
survtmle,20,RR,0.8311092140545873,0.05728033117073996,0.8340259008119368,0.002916686757349565,0.009409885738262621,0.7674180327868853,1.0543848746905748,0.6707841859227338
survtmle,20,SR,1.1741518891591443,0.06636380696166498,1.1660367049084244,-0.008115184250719915,0.014055046463741595,0.7848360655737705,1.3957474718421623,0.9537355527350466
tmle3,4,s0,0.8877220116856661,0.014880328587296574,0.889479164882227,0.0017571531965608906,6.012252713264549e-5,1,0.9021794476534792,0.8728831139092523
tmle3,4,s1,0.9083470772660533,0.013127887661346985,0.9157177087794433,0.007370631513389932,8.422515252759254e-5,1,0.9171274008622781,0.896155728976465
tmle3,4,RD,-0.02062506558038721,0.019867737033540868,-0.02623854389721625,-0.005613478316829041,1.1268511685077117e-4,1,-0.002810609808152814,-0.03771423181312114
tmle3,4,RR,0.8198021239252301,0.16022812355367297,0.762591878090172,-0.05721024583505811,0.008402650946010786,1,0.9729379822036592,0.6922226727978449
tmle3,4,SR,1.02330415678692,0.022693349852060573,1.0294987729146983,0.006194616127778107,1.447124559205822e-4,1,1.0432214607774677,1.003127240542827
tmle3,8,s0,0.7805559880426529,0.02075343625395025,0.7777764668094218,-0.0027795212332311207,1.774810517948659e-4,0.9959016393442623,0.8065010897864018,0.7548252010229326
tmle3,8,s1,0.8216697732340561,0.018762304318853448,0.8259033618843683,0.004233588650312252,1.2621048757258384e-4,0.9989754098360656,0.8386241924058129,0.7998566082767451
tmle3,8,RD,-0.04111378519140312,0.027993635305887644,-0.048126895074946496,-0.007013109883543373,3.1840229842968707e-4,0.9969262295081968,-0.006876628000384591,-0.07129807394203819
tmle3,8,RR,0.8154645268022866,0.11561605254440552,0.7834302497851431,-0.03203427701714355,0.005581341922398016,0.9989754098360656,0.9646887775083888,0.7014523934448128
tmle3,8,SR,1.052958381084714,0.036966477072715276,1.0618775408214285,0.008919159736714359,5.504750160290094e-4,0.9969262295081968,1.0941536569400763,1.0085397566515415
