F.j1.a1,F.j2.a1,F.j3.a1,F.j1.a0,F.j2.a0,F.j3.a0
0.005001049250535332,0.001045117773019272,0.0014077730192719486,0.007396359743040685,0.0013997216274089935,0.001414154175588865
0.005134154175588865,0.0010799785867237686,0.0014523768736616701,0.007591092077087794,0.0014487366167023554,0.001458779443254818
0.005263554603854389,0.0011164025695931477,0.0014960599571734476,0.007782355460385439,0.001496659528907923,0.0015039614561027836
0.005396316916488223,0.001152933618843683,0.0015416702355460386,0.007976167023554604,0.0015453319057815846,0.0015486937901498929
0.005528372591006424,0.001190406852248394,0.001587408993576017,0.00816948608137045,0.0015935331905781586,0.001593426124197002
0.005658051391862955,0.0012267023554603854,0.00163186295503212,0.008360235546038543,0.001642762312633833,0.0016377516059957174
0.00578779443254818,0.0012629764453961456,0.0016775160599571735,0.008553940042826553,0.0016924839400428266,0.001684389721627409
0.0059193790149892934,0.0012995717344753746,0.0017220128479657388,0.008747516059957173,0.001745438972162741,0.0017299785867237688
0.00605169164882227,0.0013361456102783725,0.0017675160599571733,0.008940813704496788,0.0017956316916488222,0.001775610278372591
0.006184475374732334,0.001373811563169165,0.0018131477516059957,0.009133447537473234,0.0018467023554603855,0.0018211349036402569
0.00631695931477516,0.0014108565310492506,0.0018594432548179871,0.00932269807280514,0.0018971092077087796,0.0018671948608137046
0.006447558886509636,0.001447387580299786,0.0019078372591006423,0.009513404710920772,0.0019485653104925054,0.0019132334047109207
0.006577387580299786,0.0014855674518201285,0.001954089935760171,0.009702269807280514,0.0019977516059957174,0.0019583511777301926
0.006707408993576017,0.001524625267665953,0.0020023340471092077,0.009895396145610278,0.0020485867237687366,0.0020035331905781583
0.006836595289079229,0.0015622269807280514,0.002050085653104925,0.010089421841541756,0.0020995717344753748,0.0020507066381156317
0.006970107066381156,0.001602119914346895,0.0020954603854389723,0.010281092077087795,0.0021512847965738757,0.002097665952890792
0.007099400428265524,0.001643169164882227,0.0021437044967880085,0.010472398286937901,0.002203404710920771,0.002144796573875803
0.007227944325481799,0.0016833832976445395,0.002190963597430407,0.010666488222698074,0.00225762312633833,0.00219338329764454
0.0073598929336188435,0.0017239186295503212,0.0022388222698072804,0.010857066381156317,0.002312055674518201,0.0022402141327623128
0.00748830835117773,0.0017646680942184155,0.002288543897216274,0.01104798715203426,0.0023665524625267665,0.0022879443254817987
0.0076200642398286935,0.0018046252676659528,0.0023377087794432547,0.011234817987152035,0.0024218201284796573,0.0023363169164882227
0.007751241970021413,0.0018453319057815847,0.0023862098501070666,0.011421905781584583,0.0024763597430406854,0.0023836830835117775
0.0078820556745182,0.0018859957173447538,0.0024339186295503214,0.011612591006423983,0.0025311991434689507,0.0024308993576017133
0.008012462526766595,0.0019270449678800857,0.002481391862955032,0.011803811563169165,0.002585053533190578,0.0024808351177730194
0.008141820128479657,0.001968072805139186,0.002529250535331906,0.01199695931477516,0.002639978586723769,0.0025300214132762313
0.008272912205567452,0.0020089935760171304,0.0025777516059957172,0.012187066381156316,0.002693319057815846,0.002578758029978587
0.00840408993576017,0.002051713062098501,0.0026251605995717344,0.012375160599571734,0.0027482441113490363,0.0026271734475374732
0.00853237687366167,0.0020927194860813703,0.0026721841541755887,0.01256524625267666,0.002802933618843683,0.0026752676659528908
0.008665096359743042,0.00213220556745182,0.002721948608137045,0.012762077087794433,0.002858543897216274,0.0027225267665952893
0.008793640256959315,0.002174796573875803,0.002771563169164882,0.012952077087794433,0.0029139614561027836,0.002770620985010707
0.008925738758029978,0.00221627408993576,0.002824325481798715,0.013145546038543897,0.002969978586723769,0.002821456102783726
0.009056338329764454,0.0022580942184154177,0.0028740256959314775,0.013336959314775161,0.0030260385438972163,0.002869785867237687
0.009187194860813704,0.0023022698072805137,0.002923811563169165,0.013530963597430407,0.003083683083511777,0.0029199143468950747
0.009316167023554605,0.0023446038543897215,0.002975460385438972,0.013723276231263383,0.003140985010706638,0.0029692077087794433
0.009447601713062099,0.0023880728051391864,0.003026659528907923,0.013916702355460385,0.003198222698072805,0.003018394004282655
0.009576745182012849,0.002431306209850107,0.0030773447537473233,0.014106402569593147,0.003257580299785867,0.003068629550321199
0.009707430406852248,0.0024719057815845826,0.003127580299785867,0.014295802997858672,0.003314304068522484,0.0031197644539614562
0.009838972162740899,0.002514710920770878,0.003178843683083512,0.01448850107066381,0.0033731477516059957,0.003170085653104925
0.009970064239828694,0.002557665952890792,0.003229593147751606,0.01467967880085653,0.003431541755888651,0.0032201927194860816
0.010100877944325482,0.0026019914346895076,0.003280578158458244,0.014870449678800857,0.003490556745182013,0.003270899357601713
0.010230064239828694,0.0026453104925053534,0.0033319057815845822,0.015057858672376873,0.003548286937901499,0.0033202355460385437
0.010357366167023555,0.0026891648822269807,0.0033846680942184156,0.015248394004282656,0.0036079014989293364,0.0033708565310492503
0.010487751605995717,0.002731627408993576,0.0034363597430406853,0.015439186295503213,0.00366541755888651,0.0034231263383297642
0.010619550321199144,0.0027759528907922914,0.0034885867237687365,0.015629379014989293,0.0037231263383297646,0.0034742612419700215
