estimator,timescale,J,time,F.a0,F.a1,RR,RD,SR
contmle,cont,1,1080,0.16734166158558758,0.12634466032748234,0.7550101936980161,-0.04099700125810524,1.049236282598423
contmle,cont,1,1440,0.22848803227921877,0.1675645198806347,0.7333623481682672,-0.06092351239858407,1.0789663867153814
contmle,cont,2,360,0.04545362446258098,0.04411687086692568,0.9705908250120788,-0.001336753595655299,1.0014004071776006
contmle,cont,2,720,0.10464254669944043,0.08770998210235713,0.8381866159496495,-0.016932564597083297,1.0189115135353648
contmle,cont,2,1080,0.1712468939423705,0.13919195905809087,0.8128145033972585,-0.03205493488427963,1.0386785094981599
contmle,cont,2,1440,0.22663226709901854,0.18457708826960936,0.8144342843685417,-0.04205517882940918,1.0543792778522785
contmle,cont,3,360,0.02902046721073374,0.029239833461296702,1.0075590185702394,2.1936625056296136e-4,0.9997740773691359
contmle,cont,3,720,0.04756702986516778,0.053399407898095254,1.1226138787613977,0.005832378032927472,0.9938763375315517
contmle,cont,3,1080,0.07079367994968414,0.08510932337175751,1.2022164045187094,0.01431564342207338,0.9845936869851486
contmle,cont,3,1440,0.09681100819770172,0.12235927808652203,1.2638983971393742,0.025548269888820307,0.971713262538952
cox_gcomp,3mo,1,4,0.07691784417084929,0.046750986279174823,0.6078041679812543,-0.03016685789167447,1.0326805774558359
cox_gcomp,3mo,1,8,0.13114857897005186,0.08119205549608471,0.6190845233224002,-0.049956523473967146,1.0574971994806062
cox_gcomp,3mo,1,12,0.17913128875541318,0.1130679893896949,0.6312017859932808,-0.06606329936571828,1.0804797386728924
cox_gcomp,3mo,1,16,0.23911387599613512,0.1550855563473674,0.6485845110464191,-0.08402831964876772,1.110434816719487
cox_gcomp,3mo,2,4,0.0517902442714325,0.03809953514888141,0.7356508100097361,-0.01369070912255109,1.014438481612153
cox_gcomp,3mo,2,8,0.10982765414012896,0.08255283176531211,0.7516579718618324,-0.02727482237481685,1.0306399345044475
cox_gcomp,3mo,2,12,0.17513849647143642,0.1350494931310176,0.7711011333995493,-0.040089003340418816,1.0486008901723836
